Dataset,Algorithm,Population Length,Generations,Selection Scheme,Selection Candidates,Crossover Scheme,Crossover Probability,Mutation Scheme,Mutation Probability,Replacement Scheme,Time(s),AvgValue,BestAvgValue,BestGeneration,HV,Spread,NumSolutions,Spacing,NumGenerations
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,182.85547804832458,0.5165813647745393,0.6435695459609272,42,1.0,0.9635725313281812,54,0.3870455409055924,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,181.89572310447693,0.5251066339707258,0.6435695459609272,42,0.9141854527051896,0.9646971313584133,52,0.3821379161923254,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,180.21365475654602,0.5105856046487268,0.6435695459609272,35,1.0,0.9638421630846151,55,0.39928539336918994,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,183.14165830612183,0.5118435541573608,0.6435695459609272,52,1.0,0.9637029650063204,56,0.39793053644467535,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,180.5753276348114,0.5128263658217658,0.6435695459609272,94,1.0,0.9634238469628235,56,0.3937763348430217,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,296.2103018760681,0.4544314468497573,0.538972522436432,67,0.7900501551982899,0.9697521146043606,98,0.33177403767249364,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,292.8792350292206,0.45011142349360705,0.5385646164434235,87,0.8131197530781255,0.9692402738195285,99,0.33479141513094673,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,293.9982225894928,0.4410369355111883,0.5370194147424494,90,0.8064549710482579,0.9691926561455249,100,0.3559798930101289,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,292.7538514137268,0.42120531240579046,0.5365403914735254,95,0.8714550291894754,0.9692139433977739,100,0.3872459669149316,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,292.78252363204956,0.4340715785792794,0.5379409910339785,75,0.8832029660806721,0.9689673003370103,99,0.3625971475611903,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,293.6766197681427,0.4328995675801089,0.5377962381194824,94,0.8819380199116875,0.9696249574701793,99,0.3682357962914595,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,289.45525550842285,0.4310192192040372,0.538972522436432,90,0.9229330706728462,0.9685885582230035,97,0.3625167283641227,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,292.46665263175964,0.44091234875409413,0.5374016899528975,84,0.9306433691793321,0.9687741019679295,100,0.35736640551188864,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,291.2883360385895,0.4358079787483487,0.5378078201507746,94,0.8124029584318717,0.9688160951812159,99,0.3547014676335058,100
s1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,289.5164918899536,0.4250728327604809,0.5385623438752632,87,0.881919207997751,0.9691179574431211,99,0.3780849315149454,100
2,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,68.94512844085693,0.4053228924445252,0.4455278818933045,70,0.14939383717908777,0.6307347914523873,33,0.10938199409170293,100
