Dataset,Algorithm,Iterations,Solutions per Iteration,Initialization Type,Local Search Type,Time(s),AvgValue,BestAvgValue,HV,Spread,NumSolutions,Spacing,NumGenerations
2,GRASP,200,40,stochastically,best_first_neighbor,24.571167469024658,0.0032338143057812664,0.006868615709756957,0.09327784954227912,0.5955396164432644,394,0.3316148507446667,200
2,GRASP,200,40,stochastically,best_first_neighbor,24.62644052505493,0.0032260403760064216,0.006868615709756957,0.09327784954227912,0.6097674467013823,409,0.33034681638653035,200
2,GRASP,200,40,stochastically,best_first_neighbor,24.416836500167847,0.0032250976235407656,0.006868615709756957,0.09327784954227912,0.5963392639163029,411,0.32935690450585586,200
2,GRASP,200,40,stochastically,best_first_neighbor,24.45066738128662,0.0032401265546460976,0.006868615709756957,0.09327784954227912,0.6021433579016658,411,0.333440207559872,200
2,GRASP,200,40,stochastically,best_first_neighbor,24.566813468933105,0.003245700993162326,0.006868615709756957,0.09327784954227912,0.598398067253252,423,0.33479545451473613,200
2,GRASP,200,40,stochastically,best_first_neighbor,24.641151189804077,0.0032511993623348294,0.006868615709756957,0.09327784954227912,0.5928155386372552,436,0.3372311636228564,200
2,GRASP,200,40,stochastically,best_first_neighbor,24.68663215637207,0.0032611934334173935,0.006868615709756957,0.09327784954227912,0.5903690948317533,442,0.3381725402525393,200
1,GRASP,20,500,uniform,best_first_neighbor_random,7.110982894897461,0.02980273449681285,0.04815229563269878,0.2907318358474409,0.6270115494236496,54,0.29346911813738846,20
1,GRASP,20,500,uniform,best_first_neighbor_random,7.263899803161621,0.029440808778161267,0.04815229563269878,0.2907318358474409,0.6126662098064874,60,0.2867805724196726,20
1,GRASP,20,500,uniform,best_first_neighbor_random,7.313695907592773,0.029440808778161267,0.04815229563269878,0.2907318358474409,0.6126662098064874,60,0.2867805724196726,20
1,GRASP,20,500,uniform,best_first_neighbor_random,7.384371519088745,0.029622110054532476,0.04815229563269878,0.2907318358474409,0.6012135908205039,61,0.2915128098055691,20
1,GRASP,20,500,uniform,best_first_neighbor_random,7.237259864807129,0.029672286072930872,0.04815229563269878,0.2907318358474409,0.5903421056328872,63,0.2899538949364338,20
1,GRASP,20,500,uniform,best_first_neighbor_random,7.288987159729004,0.029672286072930872,0.04815229563269878,0.2907318358474409,0.5903421056328872,63,0.2899538949364338,20
1,GRASP,20,500,uniform,best_first_neighbor_random,7.782682180404663,0.029672286072930872,0.04815229563269878,0.2907318358474409,0.5903421056328872,63,0.2899538949364338,20
1,GRASP,20,500,uniform,best_first_neighbor_random,7.810810327529907,0.029672286072930872,0.04815229563269878,0.2907318358474409,0.5903421056328872,63,0.2899538949364338,20
